央视,#genre#
CCTV 2,http://220.163.178.144:8888/tsfile/live/0002_1.m3u8
CCTV 2,http://125.210.152.19:9123/live/hzgq-cctv2gq-h264.m3u8
CCTV 2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV 3,http://iptv123.msns.cn:9901/tsfile/live/0003_1.m3u8
CCTV 3,http://125.210.152.19:9123/live/hzgq-cctv3gq-h264.m3u8
CCTV 3,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV 3,http://183.237.246.14:9931/tsfile/live/1022_1.m3u8
CCTV 3,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV 4,http://125.210.152.19:9123/live/hzgq-cctv4gq-h264.m3u8
CCTV 4,https://epg.pw/stream/14061ea886df6edfb76d8015ef8df852acbce8d4d862909db2279d3b3387cd9c.m3u8
CCTV 4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV 5,http://iptv123.msns.cn:9901/tsfile/live/0005_1.m3u8
CCTV 5,http://iptv123.msns.cn:9901/tsfile/live/0016_1.m3u8
CCTV 5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV 5,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV 5+,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV 6,http://iptv123.msns.cn:9901/tsfile/live/0006_1.m3u8
CCTV 6,http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8
CCTV 7,http://125.210.152.19:9123/live/hzgq-cctv7gq-h264.m3u8
CCTV 7,http://121.18.43.254:10000/hls/7/index.m3u8
