男歌手,#geren#
周杰伦,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhoujielun.m3u8
周深,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhoushen.m3u8
林俊杰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/linjunjie.m3u8
侯泽润,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/houzerun.m3u8
海来阿木,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/hailaiamu.m3u8
毛不易,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/maobuyi.m3u8
陈奕迅,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenyixun.m3u8
蔡徐坤,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/caixukun.m3u8
张学友,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangxueyou.m3u8
薛之谦,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xuezhiqian.m3u8
小阿枫,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaoafeng.m3u8
刀郎,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/daolang.m3u8
刘德华,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liudehua.m3u8
张杰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangjie.m3u8
许嵩,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xusong.m3u8
周传雄,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhouchuanxiong.m3u8
dj散人,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/djsanren.m3u8
葛东琪,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/gedongqi.m3u8
赵雷,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhaolei.m3u8
王力宏,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wanglihong.m3u8
张信哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangxinzhe.m3u8
谭咏麟,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/tanyonglin.m3u8
大欢,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dahuan.m3u8
郭顶,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/guoding.m3u8
李荣浩,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lironghao.m3u8
汪苏泷,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangsulong.m3u8
dj小鱼儿,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/djxiaoyuer.m3u8
浩然h.r,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/haoranh.r.m3u8
刘晓超,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liuxiaochao.m3u8
任贤齐,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/renxianqi.m3u8
许巍,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xuwei.m3u8
王杰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangjie.m3u8
张国荣,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangguorong.m3u8
周华健,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhouhuajian.m3u8
李克勤,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/likeqin.m3u8
冷漠,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lengmo.m3u8
郑源,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengyuan.m3u8
杨小壮,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yangxiaozhuang.m3u8
张宇,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangyu.m3u8
陈楚生,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenchusheng.m3u8
金润吉,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jinrunji.m3u8
常超凡,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/changchaofan.m3u8
何鹏,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/hepeng.m3u8
李宗盛,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lizongsheng.m3u8
王琪,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangqi.m3u8
付豪,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/fuhao.m3u8
杨宗纬,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yangzongwei.m3u8
海伦,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/hailun.m3u8
李玉刚,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liyugang.m3u8
祁隆,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/qilong.m3u8
lbi利比（时柏尘）,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lbilibi（shibaichen）.m3u8
胡彦斌,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huyanbin.m3u8
韩小欠,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/hanxiaoqian.m3u8
张紫豪,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangzihao.m3u8
郑润泽,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengrunze.m3u8
承桓,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenghuan.m3u8
白小白,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/baixiaobai.m3u8
崔伟立,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/cuiweili.m3u8
阿杜,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/adu.m3u8
陈雅森,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenyasen.m3u8
汪峰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangfeng.m3u8
陈百强,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenbaiqiang.m3u8
林志炫,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/linzhixuan.m3u8
徐誉滕,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xuyuteng.m3u8
黎明,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liming.m3u8
en,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/en.m3u8
李健,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lijian.m3u8
王富贵,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangfugui.m3u8
鱼多余,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yuduoyu.m3u8
陶喆,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/taozhe.m3u8
王韵,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangyun.m3u8
googoo,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/googoo.m3u8
齐秦,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/qiqin.m3u8
潘玮柏,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/panweibai.m3u8
小咪,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaomi.m3u8
林子祥,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/linzixiang.m3u8
袁树雄,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yuanshuxiong.m3u8
胡夏,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huxia.m3u8
朴树,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/pushu.m3u8
艾辰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/aichen.m3u8
摩登兄弟刘宇宁,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/modengxiongdiliuyuning.m3u8
迪克牛仔,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dikeniuzai.m3u8
邰正宵,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/taizhengxiao.m3u8
张远,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangyuan.m3u8
车继铃,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chejiling.m3u8
王忻辰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangxinchen.m3u8
李晓杰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lixiaojie.m3u8
张敬轩,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangjingxuan.m3u8
赵海洋,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhaohaiyang.m3u8
郑智化,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhengzhihua.m3u8
黄凯芹,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huangkaiqin.m3u8
